NodeID,Day,Room,Fraction,Patients,Weighted_Contrib
92acdceb0a08496610cfa012d3e17048,1,4,0.062836,11;16;21;81;94;185;186;196;202;215;238,0.691196
75e7135a25bb44729dab3d5e2d8c0ffe,1,4,0.024245,34;47;53;59;69;107;112;154;161;183;201;208,0.290946
f2dbd694a399617fb8cbd4b561e4b99d,1,4,0.253417,9;53;88;112;138;157;164;169;171;217;231,2.787585
ef7a45432c4f5a707937032cf27f33bb,1,4,0.270752,37;42;51;102;106;108;125;182;200;240,2.707525
1afcf9b4b985b19e54b2b9b2d0da0731,1,4,0.058672,41;79;110;139;161;180;182;205;226,0.528044
ff65f123cadb262284a97f69bab4f780,3,0,0.162447,57;60;93;134;165;189,0.974681
aeb26bde0fcd21494ceaddcfc2a5cfd2,3,0,0.030855,8;17;107;165;208;241,0.185131
67a37cbfb853299f0a5073b381d6497e,3,0,0.005334,3;80;111;113;128;143;166,0.037341
af2f3efc559ce94370a45ea3893bbcdf,3,0,0.074724,13;45;66;94;113;127;151;227,0.597794
e1b798edd58774de8e1ba6fb80bb10e0,3,0,0.019468,56;63;174;203;219;230,0.116809
c1c1eca2fa6b80165a669632095f1aab,3,0,0.194201,4;12;23;143;144;165,1.165205
5f2b3fb6f0582c308b37e1e80deef455,3,0,0.101975,48;69;75;93;235;246,0.611849
d836b3ea2d9628f26aafddb11245a894,3,0,0.214278,1;22;38;76;82,1.071390
c3d96530864d90b23692410d1c56743c,3,0,0.071705,7;66;115;165;213;235;238,0.501932
28296c64a9cd71b738fd600cb1c53abf,3,0,0.076536,3;16;62;122;129;235;236,0.535751
35082c26abb6e3e81a212431aa135836,3,0,0.048477,40;61;81;97;124;189,0.290861
0b008f3acad6092ee170a80749d01d49,2,5,0.014138,16;27;69;72;116;139;180;233,0.113106
f9479dc5f89f8bb70a11e1ccacacb345,2,5,0.060386,6;31;40;68;95;111;118;140;154;198;209;240,0.724630
6afcff9301b1c70b770ea913b03294ff,2,5,0.165213,15;27;33;54;88;142;155;233;249,1.486913
b08dca30ac5c632e2d61641175201f36,2,5,0.073497,88;97;107;173;192;216;218;233,0.587976
8b34a3a4ce5478971a7cd4c4bd1a4dc6,2,5,0.018833,0;11;13;27;28;42;91;114;146;169;226,0.207162
c0d3cb063e78e1c2cece7cf5f40c1199,2,5,0.022717,40;52;110;126;180;191;209;217;218,0.204455
1f19f0fe927d9b8b0d8f060b2d8747eb,2,5,0.190469,13;47;72;97;154;170;180;183;191;202,1.904688
e4bf73597bce970d1095b749244153f1,2,5,0.078604,25;41;47;59;133;160;198;226;233;243,0.786037
b594589b4543b078a0693d4d8b464b29,2,5,0.051257,20;35;60;65;71;79;107;114;145;153;181;200,0.615088
