Run_ID,Department,Method,Jan_Count,Feb_Count,Mar_Count,Total_Placed,Jan_Coverage_Pct,Score,Runtime_Sec
8,RST ROMB HRS,Simulated Annealing,321,304,260,885,100.0,4990000,32.56
8,RST ROMB HRS,GNN Heuristic,321,304,255,880,100.0,4985000,32.56
8,RST ROMB HRS,DRL Policy,321,304,248,873,100.0,4978000,32.56
8,RST ROMB HRS,Average Human,321,304,252,877,100.0,4982000,32.56
8,RST ROMB HRS,Smart Human,321,304,249,874,100.0,4979000,32.56
9,RST ROMB CCL,Hartmann GA 1998,651,561,0,1212,100.0,9315000,21.99
9,RST ROMB CCL,Hartmann GA 2002,651,564,0,1215,100.0,9330000,21.99
9,RST ROMB CCL,Simulated Annealing,651,559,0,1210,100.0,9305000,21.99
9,RST ROMB CCL,GNN Heuristic,651,549,0,1200,100.0,9255000,21.99
9,RST ROMB CCL,DRL Policy,651,533,0,1184,100.0,9175000,21.99
9,RST ROMB CCL,Average Human,651,555,0,1206,100.0,9285000,21.99
9,RST ROMB CCL,Smart Human,651,532,0,1183,100.0,9170000,21.99
9,RST ROMB HRS,Hartmann GA 1998,321,304,261,886,100.0,4991000,32.87
9,RST ROMB HRS,Hartmann GA 2002,321,304,260,885,100.0,4990000,32.87
9,RST ROMB HRS,Simulated Annealing,321,304,259,884,100.0,4989000,32.87
9,RST ROMB HRS,GNN Heuristic,321,304,255,880,100.0,4985000,32.87
9,RST ROMB HRS,DRL Policy,321,304,248,873,100.0,4978000,32.87
9,RST ROMB HRS,Average Human,321,304,252,877,100.0,4982000,32.87
9,RST ROMB HRS,Smart Human,321,304,249,874,100.0,4979000,32.87
10,RST ROMB CCL,Hartmann GA 1998,651,562,0,1213,100.0,9320000,22.08
10,RST ROMB CCL,Hartmann GA 2002,651,563,0,1214,100.0,9325000,22.08
10,RST ROMB CCL,Simulated Annealing,651,558,0,1209,100.0,9300000,22.08
10,RST ROMB CCL,GNN Heuristic,651,549,0,1200,100.0,9255000,22.08
10,RST ROMB CCL,DRL Policy,651,533,0,1184,100.0,9175000,22.08
10,RST ROMB CCL,Average Human,651,555,0,1206,100.0,9285000,22.08
10,RST ROMB CCL,Smart Human,651,532,0,1183,100.0,9170000,22.08
